model,dataset,precision,recall,f1_score
qwen-2.5-7b-chat-magnitude-un0.5,toolalpaca,0.0,0.0,0.0
qwen-2.5-7b-chat-magnitude-un0.5,alfworld,0.0,0.0,0.0
qwen-2.5-7b-chat-magnitude-un0.5,wikihow,0.0,0.0,0.0
qwen-2.5-7b-chat-magnitude-un0.5,lumos,0.0,0.0,0.0
qwen-2.5-7b-chat-magnitude-un0.5,toolbench,0.0,0.0,0.0
qwen-2.5-7b-chat-magnitude-un0.5,os,0.0,0.0,0.0
qwen-2.5-7b-chat-magnitude-un0.5,webshop,0.0,0.0,0.0
llama-3.1-8B-Instruct-W8A8-gptq,toolalpaca,5.806451612903226,6.720430107526881,5.748421232292201
llama-3.1-8B-Instruct-W8A8-gptq,wikihow,47.13502040792118,47.30978757808572,44.657711070217744
llama-3.1-8B-Instruct-W8A8-gptq,toolbench,0.0,0.0,0.0
llama-3.1-8B-Instruct-W8A8-gptq,os,77.75000000000001,86.5,79.01695526695526
llama-3.1-8B-Instruct-W8A8-gptq,webshop,58.49624060150376,58.52130325814539,57.565755046958
llama-3.1-8B-Instruct-GPTQ-w4a16,os,71.75,87.91666666666667,76.84992784992784
llama-3.1-8B-Instruct-GPTQ-w4a16,toolalpaca,7.258064516129033,9.318996415770611,7.739375320020482
llama-3.1-8B-Instruct-GPTQ-w4a16,toolbench,0.0,0.0,0.0
llama-3.1-8B-Instruct-GPTQ-w4a16,webshop,0.7518796992481203,0.9523809523809523,0.8270676691729324
llama-3.1-8B-Instruct-GPTQ-w4a16,wikihow,48.08433296982917,40.84792677013155,41.54600212315661
llama-3.1-8B-Instruct-GPTQ-w4a16,alfworld,25.864171971850446,33.19418295379833,27.476156518844913
Mistral-7B-Instruct-v0.3-W8A8-gptq,toolalpaca,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3-W8A8-gptq,alfworld,62.223949483564844,63.49659421774807,60.85404942701133
Mistral-7B-Instruct-v0.3-W8A8-gptq,lumos,66.50463147395666,69.62605901256217,65.1302558863007
Mistral-7B-Instruct-v0.3-W8A8-gptq,os,65.58333333333334,83.16666666666667,70.94372294372293
Mistral-7B-Instruct-v0.3-W8A8-gptq,wikihow,31.12007476258712,64.3967878215184,40.237074038440625
Mistral-7B-Instruct-v0.3-W8A8-gptq,toolbench,0.0,0.0,0.0
Mistral-7B-Instruct-v0.3-W8A8-gptq,webshop,77.41138560687438,70.28822055137847,72.34037474638977
Qwen2.5-7B-Instruct-GPTQ-w4a16,webshop,80.5764411027569,68.79699248120303,73.5063850101444
Qwen2.5-7B-Instruct-GPTQ-w4a16,wikihow,26.36117484147346,56.975474570333105,34.55987977748087
Qwen2.5-7B-Instruct-GPTQ-w4a16,alfworld,47.62699231142859,53.564405679790305,48.294152178635585
Qwen2.5-7B-Instruct-GPTQ-w4a16,os,77.36904761904762,93.16666666666666,82.57570207570207
Qwen2.5-7B-Instruct-GPTQ-w4a16,toolalpaca,2.3297491039426523,2.060931899641577,2.150537634408602
Qwen2.5-7B-Instruct-GPTQ-w4a16,toolbench,0.0,0.0,0.0
internlm-2.5-7b-chat-magnitude-2-4-0.5,lumos,0.2385821404226312,0.08520790729379685,0.12010257409030413
internlm-2.5-7b-chat-magnitude-2-4-0.5,webshop,53.070175438596465,45.0,48.28141783028998
internlm-2.5-7b-chat-magnitude-2-4-0.5,toolbench,0.0,0.0,0.0
internlm-2.5-7b-chat-magnitude-2-4-0.5,alfworld,0.0,0.0,0.0
internlm-2.5-7b-chat-magnitude-2-4-0.5,wikihow,3.808780278245927,2.831983538090408,3.1240671575645456
internlm-2.5-7b-chat-magnitude-2-4-0.5,toolalpaca,0.0,0.0,0.0
internlm-2.5-7b-chat-magnitude-2-4-0.5,os,68.08333333333334,65.33333333333331,64.21825396825398
internlm-2.5-7b-chat-sparsegpt-un0.5,toolbench,0.0,0.0,0.0
internlm-2.5-7b-chat-sparsegpt-un0.5,lumos,1.147466484889798,0.5355925601324374,0.6981929681316186
internlm-2.5-7b-chat-sparsegpt-un0.5,toolalpaca,0.0,0.0,0.0
internlm-2.5-7b-chat-sparsegpt-un0.5,os,70.83333333333334,83.24999999999999,73.78066378066379
internlm-2.5-7b-chat-sparsegpt-un0.5,wikihow,0.19508057675996607,0.2035623409669211,0.19331813224942995
internlm-2.5-7b-chat-sparsegpt-un0.5,webshop,0.0,0.0,0.0
internlm-2.5-7b-chat-sparsegpt-un0.5,alfworld,48.142806267806236,45.80085512777819,45.526729415556474
